Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
5240083,Colombia Categoria Primera A,2023,2023-01-24 22:00:00,1,Atlético Bucaramanga,Envigado,0,0,1.92,2.9,3.93,1.09,6.0,1.5,2.4,2.5,1.53,4.5,1.17,7.5,1.06,2.1,1.65
5240084,Colombia Categoria Primera A,2023,2023-01-25 17:10:00,1,Unión Magdalena,Atlético Huila,2,1,1.85,3.15,4.35,1.1,6.5,1.5,2.35,2.5,1.53,4.5,1.2,8.0,1.06,2.15,1.66
5240085,Colombia Categoria Primera A,2023,2023-01-25 19:20:00,1,Rionegro Águilas,Junior,1,1,2.48,2.75,3.1,1.09,6.75,1.4,2.7,2.6,1.5,3.9,1.21,8.0,1.07,1.9,1.78
5240086,Colombia Categoria Primera A,2023,2023-01-26 18:00:00,1,Boyacá Chicó,Alianza Petrolera,2,0,1.81,3.05,4.8,1.11,6.5,1.54,2.5,2.59,1.42,4.5,1.18,10.0,1.04,2.38,1.53
5240087,Colombia Categoria Primera A,2023,2023-01-26 20:10:00,1,Deportes Tolima,América de Cali,2,1,1.89,3.05,4.4,1.09,7.0,1.45,2.6,2.55,1.52,4.75,1.18,9.0,1.05,2.2,1.62
5240088,Colombia Categoria Primera A,2023,2023-01-26 22:20:00,1,Atlético Nacional,Once Caldas,1,0,1.62,3.45,5.6,1.08,7.0,1.4,2.8,2.3,1.62,4.33,1.2,7.0,1.08,2.1,1.67
5240089,Colombia Categoria Primera A,2023,2023-01-27 19:20:00,1,Jaguares de Córdoba,Santa Fe,2,2,2.59,3.1,2.5,1.08,7.0,1.42,2.75,2.22,1.62,4.33,1.2,7.5,1.07,1.91,1.8
5240090,Colombia Categoria Primera A,2023,2023-01-28 17:10:00,2,Envigado,La Equidad,1,1,2.5,2.8,2.75,1.11,6.5,1.5,2.6,2.45,1.5,4.5,1.2,10.0,1.05,2.0,1.73
5240091,Colombia Categoria Primera A,2023,2023-01-28 19:20:00,2,Atlético Huila,Atlético Bucaramanga,1,2,3.9,2.9,1.91,1.1,6.5,1.5,2.45,2.47,1.46,4.75,1.17,10.0,1.05,2.15,1.61
5240092,Colombia Categoria Primera A,2023,2023-01-29 17:10:00,2,Atlético Nacional,Rionegro Águilas,0,0,1.8,3.4,4.33,1.07,7.5,1.36,2.95,2.15,1.66,4.0,1.22,7.75,1.07,2.05,1.68
5240093,Colombia Categoria Primera A,2023,2023-01-29 19:20:00,2,Deportivo Pereira,Millonarios,2,3,3.7,2.86,2.12,1.11,6.0,1.44,2.7,2.6,1.42,4.5,1.2,8.75,1.06,1.98,1.72
5240094,Colombia Categoria Primera A,2023,2023-01-29 21:30:00,2,Junior,Independiente Medellín,1,1,1.58,3.55,5.7,1.09,6.75,1.43,2.6,2.1,1.63,4.2,1.19,8.75,1.06,2.09,1.7
5240096,Colombia Categoria Primera A,2023,2023-01-30 22:10:00,2,Once Caldas,Deportes Tolima,1,1,3.32,3.13,2.31,1.11,6.0,1.53,2.45,2.45,1.52,4.6,1.17,9.75,1.05,2.1,1.65
5240097,Colombia Categoria Primera A,2023,2023-01-31 18:00:00,2,Boyacá Chicó,Jaguares de Córdoba,1,0,2.25,2.9,3.2,1.11,6.0,1.5,2.5,2.55,1.45,4.5,1.17,9.0,1.05,2.1,1.62
5240098,Colombia Categoria Primera A,2023,2023-01-31 20:10:00,2,América de Cali,Unión Magdalena,4,0,1.6,3.2,6.0,1.12,5.5,1.53,2.35,2.11,1.65,5.0,1.14,10.0,1.04,2.65,1.42
5240099,Colombia Categoria Primera A,2023,2023-02-03 20:00:00,3,Deportivo Pereira,Atlético Huila,2,1,1.55,3.31,5.84,1.05,8.0,1.3,3.3,2.0,1.72,3.5,1.28,5.75,1.1,2.1,1.7
5240100,Colombia Categoria Primera A,2023,2023-02-04 17:30:00,3,Independiente Medellín,Santa Fe,1,1,1.72,3.56,4.87,1.07,7.5,1.36,3.0,2.0,1.79,3.75,1.25,7.0,1.08,1.95,1.81
5240101,Colombia Categoria Primera A,2023,2023-02-04 19:45:00,3,Jaguares de Córdoba,Atlético Nacional,2,1,4.19,3.28,1.93,1.08,7.0,1.4,2.75,2.4,1.58,4.0,1.22,8.0,1.06,2.02,1.76
