Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
5231144,Ecuador Primera Categoría Serie A,2023,2023-02-24 21:00:00,1,Deportivo Cuenca,LDU Quito,2,0,3.4,3.3,2.15,1.03,9.0,1.33,3.1,1.9,1.85,3.6,1.25,7.0,1.07,1.83,1.9
5231148,Ecuador Primera Categoría Serie A,2023,2023-02-25 16:00:00,1,CSD Independiente del Valle,Mushuc Runa SC,3,1,1.39,4.54,7.7,1.01,12.5,1.22,4.0,1.83,1.91,2.8,1.4,5.1,1.13,2.2,1.63
5231147,Ecuador Primera Categoría Serie A,2023,2023-02-25 18:30:00,1,Guayaquil City FC,Cumbayá,1,1,1.95,3.3,3.4,1.05,7.5,1.36,3.0,2.15,1.61,3.75,1.25,8.0,1.05,1.83,1.9
5231143,Ecuador Primera Categoría Serie A,2023,2023-02-25 21:00:00,1,Gualaceo SC,Barcelona,2,1,4.2,3.4,1.75,1.04,8.5,1.3,3.1,2.0,1.73,3.6,1.24,7.5,1.06,1.88,1.85
5231145,Ecuador Primera Categoría Serie A,2023,2023-02-26 16:00:00,1,Técnico Universitario,CD Universidad Católica,4,1,3.5,3.1,1.98,1.05,8.0,1.37,3.0,2.1,1.67,4.3,1.21,8.0,1.04,1.96,1.78
5231146,Ecuador Primera Categoría Serie A,2023,2023-02-26 18:30:00,1,SD Aucas,CD El Nacional,0,2,1.49,3.9,5.2,1.02,10.0,1.28,3.5,1.89,1.89,3.2,1.33,6.1,1.09,1.95,1.8
5231150,Ecuador Primera Categoría Serie A,2023,2023-02-26 21:00:00,1,CS Emelec,Libertad,2,0,1.22,5.4,8.7,1.04,11.0,1.24,3.6,1.78,2.0,2.85,1.37,5.25,1.14,2.25,1.57
5231149,Ecuador Primera Categoría Serie A,2023,2023-02-27 21:00:00,1,Delfin SC,Orense SC,1,1,2.05,3.1,3.45,1.05,7.2,1.42,2.75,2.19,1.6,4.2,1.2,8.2,1.03,1.95,1.75
5231157,Ecuador Primera Categoría Serie A,2023,2023-03-03 21:00:00,2,Libertad,Deportivo Cuenca,3,1,3.15,3.2,2.09,1.02,10.5,1.31,3.23,1.95,1.67,3.4,1.29,6.35,1.07,1.78,1.93
5231155,Ecuador Primera Categoría Serie A,2023,2023-03-04 16:00:00,2,CD El Nacional,Técnico Universitario,3,2,2.21,3.4,3.15,1.04,9.0,1.25,3.5,1.93,1.87,3.05,1.33,5.7,1.11,1.68,2.13
5231153,Ecuador Primera Categoría Serie A,2023,2023-03-04 18:30:00,2,LDU Quito,SD Aucas,1,1,1.75,3.74,4.34,1.01,9.7,1.24,3.48,1.84,1.97,2.98,1.32,5.55,1.1,1.71,2.02
