Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
5242250,South Korea K League 2,2023,2023-03-01 01:30:00,1,Gyeongnam,Bucheon 1995,1,0,2.58,3.28,2.61,1.02,8.8,1.28,3.2,2.0,1.72,3.28,1.27,6.25,1.07,1.73,2.0
5242251,South Korea K League 2,2023,2023-03-01 01:30:00,1,Cheonan City,Busan I'Park,2,3,2.7,2.99,2.7,1.05,7.1,1.35,2.84,2.1,1.65,3.65,1.22,7.2,1.05,1.82,1.84
5242252,South Korea K League 2,2023,2023-03-01 01:30:00,1,Jeonnam Dragons,Anyang,0,1,2.68,3.2,2.57,1.08,7.0,1.4,2.75,2.25,1.57,4.0,1.22,7.5,1.07,1.83,1.83
5242253,South Korea K League 2,2023,2023-03-01 04:00:00,1,Seongnam,Ansan Greeners,2,1,1.93,3.44,3.82,1.06,8.0,1.3,3.4,1.89,1.86,3.25,1.33,6.0,1.11,1.83,1.83
5242254,South Korea K League 2,2023,2023-03-01 04:00:00,1,Asan Mugunghwa,Sangju Sangmu,1,2,2.59,3.25,2.52,1.07,7.5,1.36,3.0,2.0,1.72,3.5,1.29,6.5,1.1,1.8,1.91
5242255,South Korea K League 2,2023,2023-03-01 04:00:00,1,Seoul E-Land,Cheongju,2,3,1.75,3.28,3.65,1.05,10.25,1.31,3.25,2.0,1.72,3.5,1.27,7.25,1.1,1.9,1.86
5242256,South Korea K League 2,2023,2023-03-04 01:30:00,2,Bucheon 1995,Seongnam,1,0,2.75,3.2,2.4,1.03,8.2,1.32,2.98,1.95,1.75,3.48,1.24,6.85,1.06,1.78,1.88
5242257,South Korea K League 2,2023,2023-03-04 01:30:00,2,Cheongju,Sangju Sangmu,0,2,4.0,3.2,1.85,1.04,7.8,1.35,2.84,2.1,1.65,3.74,1.21,7.4,1.04,1.92,1.84
5242258,South Korea K League 2,2023,2023-03-04 04:00:00,2,Ansan Greeners,Asan Mugunghwa,1,0,2.45,3.0,2.7,1.03,8.0,1.33,3.0,2.05,1.61,3.65,1.22,7.2,1.05,1.88,1.78
5242259,South Korea K League 2,2023,2023-03-05 01:30:00,2,Gimpo Citizen,Cheonan City,4,0,2.15,3.1,3.0,1.06,9.25,1.35,3.0,2.13,1.71,3.6,1.25,6.75,1.07,1.85,1.91
5242260,South Korea K League 2,2023,2023-03-05 04:00:00,2,Anyang,Seoul E-Land,1,1,2.15,3.0,3.0,1.08,7.0,1.36,3.0,2.15,1.7,3.75,1.25,7.0,1.08,1.83,1.83
5242261,South Korea K League 2,2023,2023-03-05 04:00:00,2,Jeonnam Dragons,Gyeongnam,0,5,2.45,3.0,2.6,1.07,7.5,1.36,3.0,2.15,1.7,3.75,1.25,7.0,1.08,1.7,1.98
5242262,South Korea K League 2,2023,2023-03-11 01:30:00,3,Seoul E-Land,Jeonnam Dragons,0,1,2.17,3.26,3.29,1.07,7.5,1.36,3.0,1.88,1.88,3.5,1.29,6.5,1.1,1.73,2.06
5242264,South Korea K League 2,2023,2023-03-11 04:00:00,3,Cheongju,Busan I'Park,1,1,2.77,2.93,2.23,1.08,7.0,1.36,3.0,2.15,1.61,3.75,1.25,7.0,1.08,1.85,1.85
5242263,South Korea K League 2,2023,2023-03-11 04:00:00,3,Gimpo Citizen,Gyeongnam,0,0,2.85,3.25,2.05,1.06,8.0,1.33,3.25,1.87,1.73,3.4,1.3,6.5,1.1,1.8,1.91
5242265,South Korea K League 2,2023,2023-03-12 01:30:00,3,Seongnam,Asan Mugunghwa,0,0,1.78,3.24,3.45,1.07,7.0,1.38,2.8,2.3,1.58,3.8,1.22,7.0,1.07,1.91,1.8
5242266,South Korea K League 2,2023,2023-03-12 01:30:00,3,Ansan Greeners,Anyang,1,1,4.26,3.39,1.77,1.07,7.5,1.36,3.0,1.89,1.8,3.5,1.29,7.0,1.08,1.8,1.91
5242267,South Korea K League 2,2023,2023-03-12 04:00:00,3,Cheonan City,Bucheon 1995,0,3,2.67,3.07,2.18,1.06,7.5,1.36,2.9,2.06,1.72,3.6,1.25,6.5,1.08,1.91,1.8
5242268,South Korea K League 2,2023,2023-03-18 01:30:00,4,Asan Mugunghwa,Cheonan City,1,0,1.87,3.1,3.8,1.03,7.9,1.34,2.88,2.05,1.67,3.6,1.25,6.5,1.08,1.91,1.8
5242269,South Korea K League 2,2023,2023-03-18 04:00:00,4,Gyeongnam,Cheongju,2,2,1.75,3.3,4.2,1.06,8.0,1.33,3.25,1.95,1.75,3.4,1.3,6.5,1.1,1.91,1.8
5242270,South Korea K League 2,2023,2023-03-18 04:00:00,4,Bucheon 1995,Ansan Greeners,1,0,1.87,3.25,3.6,1.04,12.0,1.28,3.5,1.87,1.83,3.3,1.3,5.5,1.11,1.75,1.95
