League,N1,N2,N3
Argentina Prim B Nacional,A,H,H
Argentina Primera División,H,H,A
Australia A-League,D,H,H
Austria Bundesliga,H,D,A
Belgium Pro League,A,A,A
Bolivia LFPB,H,D,A
Brazil Serie A,A,D,D
Brazil Serie B,A,H,H
Brazil Serie C,D,H,D
Brazil Serie D,H,H,H
Bulgaria First League,D,D,H
Canada Canadian Premier League,A,H,A
Chile Primera B,D,D,H
Chile Primera División,D,H,A
Chile Segunda División,H,H,A
China Chinese Super League,D,D,D
Colombia Categoria Primera A,H,A,H
Colombia Categoria Primera B,D,D,A
Croatia Prva HNL,D,D,D
Czech Republic First League,D,A,H
Denmark 1st Division,D,A,D
Denmark Superliga,D,A,H
Ecuador Primera Categoría Serie A,H,H,H
Egypt Egyptian Premier League,H,A,H
England Championship,H,D,H
England EFL League One,D,D,A
England EFL League Two,H,D,D
England National League,A,D,A
England Premier League,H,H,A
Finland Veikkausliiga,A,H,H
France Ligue 1,H,A,D
France Ligue 2,D,A,A
Germany 2. Bundesliga,D,D,D
Germany Bundesliga,D,H,D
Greece Super League,A,H,D
Hungary NB I,A,D,H
Italy Serie A,H,A,D
Italy Serie B,D,H,D
Japan J1 League,A,D,H
Japan J2 League,A,H,A
Mexico Ascenso MX,A,D,H
Mexico Liga MX,D,H,A
Netherlands Eerste Divisie,A,A,A
Netherlands Eredivisie,D,H,D
Netherlands Tweede Divisie,H,A,D
Norway Eliteserien,H,D,A
Paraguay Division Profesional,D,D,A
Peru Primera División,D,H,H
Poland Ekstraklasa,D,A,H
Portugal Liga NOS,D,H,D
Portugal LigaPro,A,H,D
Republic of Ireland Premier Division,A,A,A
Romania Liga I,A,A,D
Scotland Premiership,A,A,H
Serbia SuperLiga,H,H,D
Slovakia Super Liga,D,D,H
Slovenia PrvaLiga,D,H,H
South Korea K League 1,D,H,A
South Korea K League 2,A,H,H
Spain La Liga,A,D,D
Spain Segunda División,D,D,D
Sweden Allsvenskan,H,H,D
Switzerland Super League,D,D,H
Tunisia Ligue 1,A,H,H
Turkey Süper Lig,H,D,H
USA MLS,H,A,D
USA USL Championship,D,D,A
Ukraine Ukrainian Premier League,A,D,A
Uruguay Primera División,D,A,H
Uruguay Segunda División,H,H,A
Venezuela Primera División,D,A,H
