League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Mexico Ascenso MX,2023-04-03,00:05:00,14,Morelia,Celaya,2.35,2.9,2.7,1.05,8.25,1.35,2.75,2.1,1.6,3.8,1.21,7.75,1.06,1.87,1.86
Romania Liga I,2023-04-03,11:30:00,2,Mioveni,Chindia Târgovişte,2.55,2.9,3.0,1.1,7.35,1.52,2.48,2.55,1.45,4.5,1.17,9.75,1.05,2.1,1.65
Italy Serie A,2023-04-03,13:30:00,28,Empoli,Lecce,2.45,3.05,3.15,1.06,7.0,1.42,2.75,2.35,1.6,4.45,1.18,8.75,1.04,1.95,1.8
Poland Ekstraklasa,2023-04-03,14:00:00,26,Stal Mielec,Jagiellonia Białystok,2.4,3.3,2.85,1.02,9.1,1.27,3.32,1.95,1.8,3.2,1.29,5.95,1.08,1.75,2.0
Portugal LigaPro,2023-04-03,14:00:00,26,FC Penafiel,Porto II,2.25,3.3,3.1,1.06,8.0,1.34,3.0,2.1,1.7,3.5,1.26,7.0,1.09,1.83,1.83
Sweden Allsvenskan,2023-04-03,14:00:00,1,Mjällby,Varberg,2.15,3.35,3.5,1.06,10.0,1.33,3.3,2.33,1.61,3.75,1.28,7.5,1.09,1.91,1.91
Denmark Superliga,2023-04-03,14:00:00,1,AGF,Randers,2.1,3.4,3.55,1.05,9.9,1.33,3.3,1.96,1.85,3.55,1.29,6.95,1.1,1.8,1.95
Sweden Allsvenskan,2023-04-03,14:10:00,1,Elfsborg,Häcken,2.65,3.55,2.55,1.03,17.0,1.19,4.75,1.65,2.25,2.34,1.53,4.5,1.2,1.5,2.5
Turkey Süper Lig,2023-04-03,14:30:00,27,İstanbulspor,Fatih Karagümrük,3.05,3.6,2.14,1.03,16.25,1.2,4.0,1.64,2.25,2.5,1.48,4.33,1.18,1.55,2.38
Romania Liga I,2023-04-03,14:30:00,2,Sepsi,FCSB,2.95,3.1,2.45,1.08,8.35,1.42,2.62,2.1,1.7,4.0,1.2,8.0,1.05,1.95,1.75
